Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASH01E	ASH02E	ASH03E	ASH04E	ASH05E	ASH06E	ASH07E	ASH08E	ASH09E	ASH10E	ASH11E	ASH12E	BSD01E	BSD02E	BSD03E	BSD04E	BSD05E	BSD06E	BSD07E	BSD08E	BSD09E	BSD10E	BSD11E	BSD12E	NSD01E	NSD02E	NSD03E	NSD04E	NSD05E	NSD06E	NSD07E	NSD08E	NSD09E	NSD10E	NSD11E	NSD12E	NSH01E	NSH02E	NSH03E	NSH04E	NSH05E	NSH06E	NSH07E	NSH08E	NSH09E	NSH10E	NSH11E	NSH12E	ASH01R	ASH02R	ASH03R	ASH04R	ASH05R	ASH06R	ASH07R	ASH08R	ASH09R	ASH10R	ASH11R	ASH12R	BSD01R	BSD02R	BSD03R	BSD04R	BSD05R	BSD06R	BSD07R	BSD08R	BSD09R	BSD10R	BSD11R	BSD12R	NSD01R	NSD02R	NSD03R	NSD04R	NSD05R	NSD06R	NSD07R	NSD08R	NSD09R	NSD10R	NSD11R	NSD12R	NSH01R	NSH02R	NSH03R	NSH04R	NSH05R	NSH06R	NSH07R	NSH08R	NSH09R	NSH10R	NSH11R	NSH12R
Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	f_ASV00001	2403	2919	435	1264	1822	1856	969	4096	1369	2589	984	562	1823	4298	4794	940	3699	5639	1497	6008	7112	743	9	1626	2925	3741	1687	1269	495	1676	1333	723	573	26	6031	1408	3537	4302	2828	1197	2751	3838	2215	4296	1873	272	9349	3752	182	107	23	116	33	163	121	151	187	69	106	86	326	56	99	0	309	84	945	36	26	1410	0	0	284	267	471	114	35	0	638	546	112	8	188	54	6	176	125	207	819	761	665	50	294	171	546	135
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Clavulinaceae	Clavulina	f_ASV00002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	11	0	0	2	0	0	0	2738	0	0	0	53	0	0	0	0	0	0	0	3650	74	0	4786	0	0	0	0	0	0	0	0	21492	11755	8	0	0	0	3	5	0	2	17087	23	4	0	45	0	67	52	21	0	52	29	0	10	17036	20	0	4	11214	13111	0	0	3	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	f_ASV00003	0	2726	8490	444	13776	0	25627	159	566	1545	1083	212	0	16699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19255	6	0	0	0	0	3	0	0	4499	0	0	1464	0	14811	0	0	0	3939	0	0	47	0	20	60	0	77	27	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	162	0	0	0	6	0	0	0	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrophorus	f_ASV00004	0	9	0	0	0	0	0	0	0	1067	559	430	0	154	0	8	0	0	0	0	0	0	0	0	5	0	0	3292	0	0	6	13	411	0	0	0	0	18	1033	0	21	2530	30	87	276	0	38	17	2	0	0	0	0	0	0	0	0	11134	1608	7105	12	6006	3	0	2	0	0	0	0	0	2	0	7513	0	5	38314	8	18	6	0	24704	0	0	288	31957	1284	7406	304	36	5314	4065	12354	24391	7694	16276	244
Fungi	Ascomycota	Dothideomycetes	Pleosporales	unclassified	unclassified	f_ASV00005	0	434	1106	2062	0	148	4610	7588	14105	20171	4315	4445	3138	0	15027	13343	0	0	0	0	0	0	11	19360	7	0	0	0	5	0	0	0	0	0	0	6197	39	7432	0	11074	23633	0	0	27	0	2534	29747	16936	0	0	145	47	0	0	124	70	309	56	72	65	0	0	746	32	0	0	0	0	0	0	52	299	0	0	0	0	0	0	0	0	0	0	0	223	20	194	0	283	2587	0	0	0	0	350	996	158
Fungi	Ascomycota	Dothideomycetes	Pleosporales	unclassified	unclassified	f_ASV00006	19662	12714	767	9	529	0	0	1311	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	13347	0	330	0	35131	10676	18207	12011	7495	0	0	14540	15022	18897	0	0	19239	21224	0	184	0	0	0	85	55	28	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	85	0	54	0	466	0	68	0	0	52	57	301	0	0	622	332	0	0	0	0	0
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	f_ASV00007	0	0	0	15	322	5701	28	144	0	362	239	41	206	787	4557	1381	0	0	0	0	0	1696	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1481	0	12	0	0	0	0	581	4408	15	0	0	0	1741	2008	1144	0	1094	2178	826	809	296	200	1253	531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3334	0	0	0	0	0	1130	0	1595	509	0	688	908	872	2720	737	0
Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Leohumicola	f_ASV00008	0	175	63	6	0	0	13	49	0	10	83	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6225	9428	73	21	2732	728	1994	6182	1395	0	1255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	39	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Infundichalara	f_ASV00009	0	530	0	0	20	17	0	0	0	0	0	0	3163	9334	747	10616	42	11140	5046	6482	12308	1076	335	111	8	273	60	13	122	177	75	150	74	3653	389	7311	42	193	1575	241	204	1467	231	17225	130	1113	432	1376	12	0	0	0	0	0	0	0	0	0	0	0	21	8	10	17	12	23	125	40	0	1012	144	0	3	0	39	9	0	0	293	6	20	23	0	7	0	0	34	0	38	0	21	29	34	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	f_ASV00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	124	893	1067	519	0	0	6	91	60	0	0	1910	0	2529	0	1121	762	282	0	0	0	0	0	5438	1658	46	0	4053	1526	8	0	139	0	25	22	0	656	2318	2460	0	5851	499	0	409	406	0
