Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASH01E	ASH02E	ASH03E	ASH04E	ASH05E	ASH06E	ASH07E	ASH08E	ASH09E	ASH10E	ASH11E	ASH12E	BSD01E	BSD02E	BSD03E	BSD04E	BSD05E	BSD06E	BSD07E	BSD08E	BSD09E	BSD10E	BSD11E	BSD12E	NSD01E	NSD02E	NSD03E	NSD04E	NSD05E	NSD06E	NSD07E	NSD08E	NSD09E	NSD10E	NSD11E	NSD12E	NSH01E	NSH02E	NSH03E	NSH04E	NSH05E	NSH06E	NSH07E	NSH08E	NSH09E	NSH10E	NSH11E	NSH12E	ASH01R	ASH02R	ASH03R	ASH04R	ASH05R	ASH06R	ASH07R	ASH08R	ASH09R	ASH10R	ASH11R	ASH12R	BSD01R	BSD02R	BSD03R	BSD04R	BSD05R	BSD06R	BSD07R	BSD08R	BSD09R	BSD10R	BSD11R	BSD12R	NSD01R	NSD02R	NSD03R	NSD04R	NSD05R	NSD06R	NSD07R	NSD08R	NSD09R	NSD10R	NSD11R	NSD12R	NSH01R	NSH02R	NSH03R	NSH04R	NSH05R	NSH06R	NSH07R	NSH08R	NSH09R	NSH10R	NSH11R	NSH12R
Fungi	Ascomycota	Dothideomycetes	Mytilinidiales	Mytilinidiaceae	unclassified	f_ASV00011	0	7120	642	263	0	342	754	0	2447	429	0	322	62	115	0	0	0	0	489	351	0	122	4	0	1419	1090	711	1037	229	733	4715	8452	5274	64	117	0	13	0	0	11024	0	0	0	0	27	104	0	0	0	1165	481	186	229	146	769	0	1917	116	0	54	2162	0	0	0	0	0	632	498	0	1363	0	0	201	434	702	83	80	494	0	974	0	299	0	0	11	0	0	1143	0	0	50	82	0	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Amphinema	f_ASV00012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	635	16	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	15	11	0	12	0	0	0	0	0	0	0	0	0	0	5443	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	unclassified	unclassified	f_ASV00013	3280	80	90	598	1896	0	0	1913	1345	0	0	232	0	0	0	0	13	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	109	0	47	32	81	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Xenopolyscytalum	f_ASV00014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1057	0	1869	8	0	574	1085	444	2893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	f_ASV00015	0	0	0	357	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2609	0	0	1720	0	0	0	37	0	0	1511	0	0	32103	0	0	0	0	0	0	28715	0	6793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	12	0	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	unclassified	unclassified	f_ASV00016	11937	136	102	0	2690	0	999	5408	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	49	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	0	107	0	379	0	225	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	f_ASV00017	0	0	0	0	0	0	0	0	0	0	17204	0	0	0	0	0	0	0	0	0	0	0	0	0	20299	0	20	0	0	0	0	0	0	714	0	0	0	0	14630	11255	13	0	0	0	0	0	0	1111	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	8	0	0	0	0	0	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	unclassified	unclassified	f_ASV00018	0	0	0	0	2890	0	0	1290	0	5559	330	32	0	0	0	0	0	0	0	0	8729	0	0	0	0	0	0	0	0	0	12	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	35	0	20	0	313	0	0	0	0	0	0	33	0	0	0	59	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Leotiomycetes	Helotiales	Vibrisseaceae	Phialocephala	f_ASV00019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	f_ASV00020	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1070	2248	0	2238	0	0	459	0	0	1863	8552	20936	0	6800	9710	22	0	0	0	0	0	3299	1583	218	0	0	377	0	135	0	0	0	0	0	0	10	0	7	857
Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Xenopolyscytalum	f_ASV00021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	19	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Amphinema	f_ASV00022	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	9403	3565	757	4437	2376	4182	0
Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	f_ASV00023	0	43	32	37	0	34649	0	5	16	11	0	0	2	10	0	0	0	0	0	321	0	0	0	0	3	0	8890	0	0	0	2917	0	0	393	0	12679	0	17	36	78	215	0	0	26	0	0	0	0	8	0	15	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	11	0	0	0	0	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	f_ASV00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	9	0	0	0	0	0	0	107	0	0	17	0	42	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Basidiomycota	Agaricomycetes	unclassified	unclassified	unclassified	f_ASV00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	4200	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	1055	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0	0	0	23	15	0	0	0	0
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Wilcoxina	f_ASV00026	0	0	0	0	0	0	0	12806	0	0	75	1077	5	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	8	337	12	25	16	9	0	0	0	0	0	34	0	2826	2	1027	200	479	311	6884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1256	2423	1612	594	1978	1551	746
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Wilcoxina	f_ASV00027	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	464	99	0	0	0	29	61	907	2508	35	387	0	0	0	0	34	50	0	0	0	0	0	0	1881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1220	4785	8364	0	0	0	0	9100	4009	15288	4665	2038	311	2	16	856	1275	519	0	0	0	0	0	51
Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	f_ASV00028	0	0	0	0	0	0	0	0	0	0	0	0	0	32	27	0	0	11	0	0	0	0	0	0	0	0	0	0	50	8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	16	0	0	29	9	35	10	7	0	18	0	29	160	1726	2374	31	408	364	171	57	112	0	369	1736	98	30	29	22	248	186	266	63	0	15	145	236	0	68	38	342	37	362	45	11	987	901	0	55
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Clavulinaceae	Clavulina	f_ASV00029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1146	32	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	26	0	12	34	0	0	0	0	0	0	1007	0	0	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	f_ASV00030	0	5423	0	2123	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	f_ASV00031	0	0	0	3197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6873	11619	5751	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	f_ASV00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	0	0	0	0	0	0	0	24	202	11	0	19	1924	1457	685	100	8411	4512	3498	34	12	0	0	0	0	0	5282	5496	0	748	1389	0	0	1085	516	8699	5	0	0	1204	2806	60	68
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	f_ASV00033	0	5	0	2780	0	0	0	0	0	0	0	0	62	225	9071	0	4	725	0	565	0	0	14	0	0	0	0	0	0	0	0	0	0	8123	0	0	0	0	0	0	0	0	0	0	0	0	2338	195	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Sordariomycetes	Sordariomycetes_ord_Incertae_sedis	Sordariomycetes_fam_Incertae_sedis	Oncopodiella	f_ASV00034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	f_ASV00035	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	9	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	1039	1778	743	744	768	197	0	151	82	48	0	0	0	2968	0	0	0	965	341	615	0	0	163	5231	0	180	1341	3239	0	0	0	11888	0	0	0	0	0	0	2025	5330	0	0	160	1954	0	3151
Fungi	Ascomycota	Leotiomycetes	Helotiales	Vibrisseaceae	Phialocephala	f_ASV00036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	465	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Dothideomycetes	Pleosporales	unclassified	unclassified	f_ASV00037	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	14099	9730	0	239	0	15077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	181	0	0
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Clavulinaceae	Clavulina	f_ASV00038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrophorus	f_ASV00039	0	0	0	0	0	2	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	308	6	18	108	12	11987	0	0	0	7882	109	0	0	3	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1130	0	0	73	429	0	0	0	0	10	0
Fungi	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	f_ASV00040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	70	223	0	0	63	82	108	0	72	667	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	f_ASV00041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	89	3188	784	0	589	62	349	0	0	27	0	0	0	2730	0	0	0	0	0	1070	0	0	0	0	0	0	0	35	0	0	1261	0	0	10742	0	21	1057	0	495	1939	1246	10209	5073	0	0	0	881	2805
Fungi	Basidiomycota	Agaricomycetes	Agaricales	unclassified	unclassified	f_ASV00042	0	0	118	0	513	0	0	0	1522	0	0	558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	23	0	0	14	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	f_ASV00043	0	5	0	0	3	10	0	0	0	27	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	89	0	455	859	769	901	1620	730	202	306	45	398	102	124	288	115	46	56	45	147	220	188	53	72	26	330	1219	694	998	145	776	94	594	409	68	88	725	1202	139	1044	267	780	825	289	54	408	150	973	229	542
Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	f_ASV00044	19	28	0	0	0	36	0	11	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	24	0	0	0	0	0	32	419	1368	713	1063	425	1354	112	23	75	400	44	279	41	1657	167	1066	78	100	654	0	0	0	66	0	0	0	0	0	0	93	78	0	0	0	0	0	0	441	0	280	260	1036	525	40	40	135	177	87
Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Xenopolyscytalum	f_ASV00045	0	0	0	0	0	0	0	0	0	0	0	0	1968	585	1325	10704	175	501	0	310	9	0	0	0	46	0	83	100	0	86	1063	2092	970	4132	0	0	0	0	219	0	4309	0	0	0	115	9	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	9	0	70	0	0	0	0	0	0	0	0	27	170	0	185	5	0	48	0	0	0	0	8	0	0	26	0	0	274	16	0	0	0
Fungi	Ascomycota	Leotiomycetes	Helotiales	unclassified	unclassified	f_ASV00046	0	0	0	0	0	0	0	0	6	0	0	0	229	833	403	384	0	596	0	0	24	224	0	0	0	25	154	211	199	820	160	306	408	0	74	1128	0	12	159	0	0	53	5	72	0	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	122	0	10	194	0	0	35	75	54	0	50	21	58	20	12	78	24	67	66	11	103	246	69	30	19	14	0	5	7	0	11	56	260	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	f_ASV00047	0	0	0	0	0	0	119	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24175	14	6	0	0	10449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Leotiomycetes	unclassified	unclassified	unclassified	f_ASV00048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	762	660	0	459	0	0	0	0	155	0	2213	974	172	1264	206	121	0	2650	7929	1102	56	0	1503	288	1406	0	0	0	562	0	3595	58	426	370	277
Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	f_ASV00049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	275	161	247	611	49	0	0	0	84	0	0	79	0	281	80	0	292	132	205	69	32	0	0	1455	238	285	54	1508	65	382	467	165	51	171	1579	95	2511	162	578	4399	153	242	679	315	1023	449	932
Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	f_ASV00050	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	1480	0	0	0	0	0	0	0	0	0	0	7	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	12	0	0	0	0	0	4	0	1193	0	276	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
